Category: All categories

Week,Online dating application: (Utah)
2020-03-01,30
2020-03-08,19
2020-03-15,46
2020-03-22,18
2020-03-29,45
2020-04-05,9
2020-04-12,35
2020-04-19,35
2020-04-26,36
2020-05-03,28
2020-05-10,9
2020-05-17,29
2020-05-24,50
2020-05-31,66
2020-06-07,67
2020-06-14,50
2020-06-21,31
2020-06-28,51
2020-07-05,52
2020-07-12,31
2020-07-19,53
2020-07-26,42
2020-08-02,52
2020-08-09,52
2020-08-16,41
2020-08-23,69
2020-08-30,57
2020-09-06,10
2020-09-13,57
2020-09-20,39
2020-09-27,52
2020-10-04,11
2020-10-11,36
2020-10-18,12
2020-10-25,46
2020-11-01,19
2020-11-08,22
2020-11-15,34
2020-11-22,94
2020-11-29,67
2020-12-06,46
2020-12-13,35
2020-12-20,13
2020-12-27,35
2021-01-03,100
2021-01-10,11
2021-01-17,56
2021-01-24,55
2021-01-31,33
2021-02-07,68
2021-02-14,80
2021-02-21,22
2021-02-28,84
