Category: All categories

Week,Online dating application: (Washington)
2020-03-01,61
2020-03-08,80
2020-03-15,35
2020-03-22,44
2020-03-29,47
2020-04-05,25
2020-04-12,58
2020-04-19,37
2020-04-26,46
2020-05-03,47
2020-05-10,47
2020-05-17,66
2020-05-24,58
2020-05-31,23
2020-06-07,23
2020-06-14,34
2020-06-21,51
2020-06-28,72
2020-07-05,63
2020-07-12,76
2020-07-19,59
2020-07-26,74
2020-08-02,36
2020-08-09,74
2020-08-16,37
2020-08-23,62
2020-08-30,41
2020-09-06,59
2020-09-13,75
2020-09-20,35
2020-09-27,32
2020-10-04,43
2020-10-11,35
2020-10-18,84
2020-10-25,100
2020-11-01,43
2020-11-08,23
2020-11-15,62
2020-11-22,53
2020-11-29,29
2020-12-06,24
2020-12-13,83
2020-12-20,31
2020-12-27,53
2021-01-03,82
2021-01-10,67
2021-01-17,28
2021-01-24,56
2021-01-31,74
2021-02-07,23
2021-02-14,46
2021-02-21,69
2021-02-28,43
