Category: All categories

Week,Online dating application: (Delaware)
2020-03-01,28
2020-03-08,28
2020-03-15,0
2020-03-22,25
2020-03-29,25
2020-04-05,50
2020-04-12,0
2020-04-19,0
2020-04-26,48
2020-05-03,71
2020-05-10,100
2020-05-17,24
2020-05-24,0
2020-05-31,97
2020-06-07,49
2020-06-14,0
2020-06-21,26
2020-06-28,26
2020-07-05,0
2020-07-12,81
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,27
2020-08-30,27
2020-09-06,52
2020-09-13,0
2020-09-20,26
2020-09-27,55
2020-10-04,57
2020-10-11,0
2020-10-18,31
2020-10-25,0
2020-11-01,26
2020-11-08,0
2020-11-15,89
2020-11-22,0
2020-11-29,0
2020-12-06,58
2020-12-13,29
2020-12-20,62
2020-12-27,89
2021-01-03,28
2021-01-10,0
2021-01-17,0
2021-01-24,58
2021-01-31,0
2021-02-07,29
2021-02-14,0
2021-02-21,29
2021-02-28,0
