Category: All categories

Week,Online dating application: (Virginia)
2020-03-01,67
2020-03-08,97
2020-03-15,39
2020-03-22,37
2020-03-29,78
2020-04-05,24
2020-04-12,87
2020-04-19,95
2020-04-26,60
2020-05-03,59
2020-05-10,43
2020-05-17,23
2020-05-24,43
2020-05-31,61
2020-06-07,71
2020-06-14,58
2020-06-21,95
2020-06-28,57
2020-07-05,67
2020-07-12,62
2020-07-19,51
2020-07-26,100
2020-08-02,89
2020-08-09,95
2020-08-16,59
2020-08-23,44
2020-08-30,49
2020-09-06,47
2020-09-13,82
2020-09-20,28
2020-09-27,49
2020-10-04,81
2020-10-11,59
2020-10-18,54
2020-10-25,77
2020-11-01,48
2020-11-08,76
2020-11-15,85
2020-11-22,72
2020-11-29,60
2020-12-06,65
2020-12-13,34
2020-12-20,80
2020-12-27,82
2021-01-03,64
2021-01-10,83
2021-01-17,86
2021-01-24,49
2021-01-31,33
2021-02-07,54
2021-02-14,60
2021-02-21,55
2021-02-28,83
