desireToConnect,increasedLoneliness,recognizeLoneliness,abilityToBeHappy,healthConfirmationPrePandemic,withoutProof,age,ethnisity,personality,sexuality
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Somewhat Important,Somewhat Unlikely,22-26,White,Extrovert ,Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,No noted difference,Somewhat Unimportant,Somewhat Unlikely,22-26,White,Extrovert ,Heterosexual
Moderately increased,"Yes, often",Somewhat Important,Somewhat decreased,Important,Likely,22-26,White,Introvert ,Pansexual
Heavily increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Extrovert ,Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,Significantly increased,Very Important,Very Likely,22-26,Middle Eastern,Introvert ,Heterosexual
Moderately decreased,"Yes, often",Very Important,Significantly increased,Very Important,Likely,22-26,White,Extrovert ,Heterosexual
Heavily decreased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Very Important,Somewhat Likely,22-26,Hispanic,Extrovert ,Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Introvert ,Heterosexual
Heavily increased,"Yes, sometimes",Very Important,Somewhat increased,Very Important,Likely,22-26,White,Introvert ,Heterosexual
Heavily increased,"Yes, sometimes",Very Important,Significantly increased,Very Important,Somewhat Likely,22-26,White,Extrovert ,Heterosexual
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Somewhat Important,Somewhat Likely,18-21,White,Extrovert ,Heterosexual
Not at all,No noticed change,Very Unimportant,No noted difference,Somewhat Important,Likely,27-29,Other,Extrovert ,Heterosexual
Moderately increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Likely,27-29,White,Introvert ,Homosexual
Not at all,"Yes, sometimes",Generally Welcome,Somewhat increased,Very Important,Very Unlikely,22-26,Asian,Introvert ,Bisexual
Moderately increased,"Yes, often",Somewhat Important,Significantly decreased,Very Important,Very Unlikely,27-29,White,Introvert ,Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Very Likely,22-26,White,Extrovert ,Heterosexual
Moderately increased,"Yes, often",Generally Welcome,No noted difference,Important,Likely,22-26,White,Extrovert ,Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Somewhat Likely,22-26,White,Introvert ,Bisexual
Heavily increased,"Yes, often",Somewhat Important,Significantly decreased,Somewhat Important,Somewhat Unlikely,22-26,White,Extrovert ,Heterosexual
Moderately increased,"Yes, sometimes",Generally Welcome,Significantly increased,Very Important,Somewhat Unlikely,27-29,White,Extrovert ,Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Somewhat Unlikely,22-26,White,Extrovert ,Heterosexual
Moderately decreased,"Yes, sometimes",Very Important,Significantly decreased,Very Important,Somewhat Likely,22-26,White,Extrovert ,Heterosexual
Heavily decreased,"Yes, sometimes",Generally Welcome,Somewhat increased,Somewhat Important,Likely,22-26,White,Introvert ,Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Important,Somewhat Likely,27-29,East Asian,Extrovert ,Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat increased,Important,Somewhat Likely,22-26,White,Introvert ,Bisexual
Moderately decreased,No noticed change,Generally Welcome,Somewhat increased,Somewhat Unimportant,Likely,22-26,White,Introvert ,Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Very Unlikely,22-26,White,Introvert ,Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,No noted difference,Important,Likely,22-26,White,Extrovert ,Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Somewhat decreased,Very Important,Very Unlikely,27-29,White,Extrovert ,Bisexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Somewhat Important,Somewhat Likely,22-26,Asian,Extrovert ,Heterosexual
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Very Unlikely,22-26,Asian,Introvert ,Heterosexual
Heavily increased,"Yes, often",Generally Welcome,Significantly decreased,No Answer,No Answer,22-26,Asian,Introvert ,Heterosexual
Heavily increased,"Yes, often",Very Important,Somewhat increased,Very Important,Very Likely,22-26,White,Extrovert ,Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,No noted difference,Somewhat Important,Very Unlikely,22-26,White,Introvert ,Heterosexual
Moderately increased,"Yes, often",Very Important,Somewhat decreased,Very Important,Somewhat Unlikely,22-26,White,Introvert ,Heterosexual
Moderately increased,"Yes, often",Very Important,No noted difference,Very Important,Somewhat Unlikely,22-26,White,Extrovert ,Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat decreased,Somewhat Unimportant,Somewhat Unlikely,22-26,White,Introvert ,Heterosexual
Heavily increased,"Yes, often",Somewhat Unimportant,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Introvert ,Bisexual
Not at all,"Yes, sometimes",Generally Welcome,Significantly increased,Very Important,Likely,22-26,White,Introvert ,Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Somewhat Important,Somewhat Likely,18-21,White,Introvert ,Heterosexual
Moderately increased,"Yes, often",Generally Welcome,Somewhat decreased,Very Important,Somewhat Unlikely,18-21,White,Introvert ,Heterosexual
Moderately decreased,"Yes, often",Generally Welcome,Somewhat increased,Very Important,Very Likely,18-21,White,Introvert ,Heterosexual
Moderately increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely,22-26,White,Extrovert ,Heterosexual
Moderately decreased,"Yes, sometimes",Somewhat Important,Somewhat increased,Important,Somewhat Likely,22-26,Other,Extrovert ,Heterosexual
Heavily increased,"Yes, often",Somewhat Important,Significantly decreased,Very Important,Somewhat Likely,18-21,White,Introvert ,Heterosexual
Heavily increased,"Yes, often",Very Important,Significantly increased,Very Important,Somewhat Likely,18-21,White,Introvert ,Heterosexual
Moderately increased,"Yes, often",Generally Welcome,No noted difference,Very Important,Somewhat Unlikely,22-26,White,Introvert ,Bisexual
Moderately decreased,"Yes, often",Somewhat Important,Somewhat increased,Very Important,Likely,22-26,White,Introvert ,Heterosexual
Moderately increased,"Yes, sometimes",Very Important,Significantly increased,Very Important,Likely,27-29,White,Extrovert ,Heterosexual
Moderately increased,"Yes, sometimes",Somewhat Important,Somewhat increased,Very Important,Somewhat Likely,22-26,White,Extrovert ,Heterosexual
Moderately decreased,"Yes, often",Somewhat Important,No noted difference,Very Important,Somewhat Unlikely,18-21,White,Introvert ,Heterosexual
Heavily increased,"Yes, often",Very Important,Significantly decreased,Very Important,Somewhat Likely,18-21,White,Extrovert ,Bisexual
